Song name,Album Name,Position on Album,In Hot 100 Billboard ,Position,Year ,Song length in seconds,BPM value,Key,Sentiment,Category,Word Count,Age
Lets go crazy,Purple Rain,1,1,1,1984,279,98.1,C# minor,66,Very Positive,347,26
Computer Blue,Purple Rain,4,0,0,1984,239,132.7,D# minor,36,Positive,71,26
The beautiful ones,Purple Rain,3,0,0,1984,314,72.7,F minor,-26,Negative,233,26
When Doves Cry,Purple Rain,6,1,1,1984,351,126.5,G# minor,-34,Negative,327,26
Purple Rain,Purple Rain,9,1,2,1984,521,112.3,G minor,0,Neutral,208,26
Play in the sunshine,Sign O the times,2,0,0,1987,305,99,A,78,Very Positive,361,29
If I was your girlfriend,Sign O the times,11,1,67,1987,226,96.5,A# minor,66,Very Positive,541,29
Adore,Sign O the times,16,0,0,1987,279,129.5,A minor,86,Very Positive,495,29
Starfish and coffee,Sign O the times,6,0,0,1987,170,102,A minor,92,Very Positive,268,29
U got the look,Sign O the times,10,1,2,1987,226,122.3,B minor,96,Very Positive,350,29
Sign O the times,Sign O the times,1,1,3,1987,222,99,C minor,-78,Very Negative,249,29
It,Sign O the times,5,0,0,1987,309,99,D,24,Positive,270,29
Strange relationships,Sign O the times,12,0,0,1987,241,96,D minor,-52,Very Negative,264,29
Its gonna be a beautiful night,Sign O the times,15,0,0,1987,549,113,D minor,96,Very Positive,544,29
The ballad of dorothy parker,Sign O the times,4,0,0,1987,241,103,E minor,-12,Negative,273,29
The cross,Sign O the times,14,0,0,1987,288,99,E minor,82,Very Positive,159,29
I could never take the place of your man,Sign O the times,13,1,10,1987,218,147.6,F minor,-88,Very Negative,227,29
Slow Love,Sign O the times,7,0,0,1987,262,64,F minor,84,Very Positive,158,29
Housequake,Sign O the times,3,0,0,1987,282,116,F minor,100,Very Positive,409,29
Forever In my life,Sign O the times,9,0,0,1987,210,104,G,72,Very Positive,411,29
Hot thing,Sign O the times,8,1,63,1987,339,108,Gb,10,Positive,193,29
